vendredi,8h00 à 9h50,,Protéomique TP 5BIM gr B,Protéomique TP 5BIM gr B,Protéomique TP 5BIM gr B,,,,Climat 5BS,Climat 5BS,Climat 5BS,Climat 5BS,Climat 5BS,Climat 5BS,Proc pharm 5BS exam,,,Projet 5BIM,Projet 5BIM,,,vendredi,8h00 à 9h50,,,,,,,,,,Info 3: Algo prog grp A+B TD examen,Biomaths 2: Algèbre AB TP exam ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10h05 à 11h55,,,,,,,,,,,,,,Climat 5BS exam,,,,,,,,10h05 à 11h55,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vendredi,14h00 à 15h50,,Protéomique TP 5BIM gr A,Protéomique TP 5BIM gr A,,Protéomique TP 5BIM gr A,,,,,,,,,,,,Projet 5BIM,Projet 5BIM,Projet 5BIM,,vendredi,14h00 à 15h50,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16h05 à 17h55,,,,,,,,,,,,,,,,,,,,,,16h05 à 17h55,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24
Salle Grace HOPPER / 406-RDJ-16 (ex-salle 5BIM) / S1,,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,Salle Grace HOPPER / 406-RDJ-16 (ex-salle 5BIM) / S2,,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13/sep/21 - 17/sep/21,20/sep/21-24/sep/21,27/sep/21-01/oct/21,04/oct/21-08/oct/21,11/oct/21-15/oct/21,18/oct/21-22/oct/21,25/oct/21-29/oct/21,01/nov/21-05/nov/21,08/nov/21-12/nov/21,15/nov/21-19/nov/21,22/nov/21-26/nov/21,29/nov/21-03/dec/21,06/dec/21-10/dec/21,13/dec/21-17/dec/21,20/dec/21-24/dec/21,27/dec/21-31/jan/22,03/jan/22-07/jan/22,10/jan/22-14/jan/22,17/jan/22-21/jan/22,24/jan/22-28/jan/22,,,31/01/22-04/02/22,07/02/22-11/02/22,14/02/22-18/02/22,21/02/22-25/02/22,28/02/22-04/03/22,07/03/22-11/03/22,14/03/22-18/03/22,21/03/22-25/03/22,28/03/22-01/04/22,04/04/22-08/04/22,11/04/22-15/04/22,18/04/22-22/04/22,25/04/22-29/04/22,02/05/22-06/05/22,09/05/22-13/05/22,16/05/22-20/05/22,23/05/22-27/05/22,30/05/22-03/06/22,06/06/22-10/06/22,13/06/22-17/06/22
lundi,8h00 à 9h50,,,,,,,,,,,ED-EDP TP 4BIM gr A,ED-EDP TP 4BIM gr A,ED-EDP TP 4BIM gr A,ED-EDP TP 4BIM gr A,,,Projet 5BIM,IA TP 4BIM gr A,IA TP 4BIM gr A,IA TP 4BIM gr A,lundi,8h00 à 9h50,,,,,4BB Stats TP ,4BB Stats TP ,4BB Stats TP ,4BB Stats TP ,4BB Stats TP ,4BB Stats TP ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10h05 à 11h55,,,,,,,,,,,,,,,,,,,,,,10h05 à 11h55,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lundi,14h00 à 15h50,,ED-EDP TP 4BIM gr A,ED-EDP TP 4BIM gr A,ED-EDP TP 4BIM gr A,ED-EDP TP 4BIM gr A,ED-EDP TP 4BIM gr A,,,ED-EDP TP 4BIM gr A,ED-EDP TP 4BIM gr A,Génomique TP 4BIM gr A,Génomique TP 4BIM gr A,Génomique TP 4BIM gr A,Génomique TP 4BIM gr A,,,Projet 5BIM,C++ TP 4BIM gr A,C++ TP 4BIM gr A,C++ TP 4BIM gr A,lundi,14h00 à 15h50,,,,,,4BiM TP Prog web grp B,4BiM TP Prog web grp B,4BiM TP Prog web grp B,4BiM TP Prog web grp B,4BiM TP Prog web grp B,4BB Info TP ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16h05 à 17h55,,Génomique TP 4BIM gr A,Génomique TP 4BIM gr A,Génomique TP 4BIM gr A,Génomique TP 4BIM gr A,Génomique TP 4BIM gr A,,,Génomique TP 4BIM gr A,Génomique TP 4BIM gr A,,,,,,,,,,,,16h05 à 17h55,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mardi,8h00 à 9h50,,,,,,,,,,,,,,,,,Projet 5BIM,Projet 5BIM,Projet 5BIM,Projet 5BIM,mardi,8h00 à 9h50,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10h05 à 11h55,,,,,,,,,,Virol 5BS,,,,,,,,,,,,10h05 à 11h55,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mardi,14h00 à 15h50,,,,,,,,Virol 5BS,,Virol 5BS,Virol 5BS,Virol 5BS,Virol 5BS,,,,Projet 5BIM,Projet 5BIM,Projet 5BIM,Projet 5BIM,mardi,14h00 à 15h50,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16h05 à 17h55,,,,,,,,,,,,,,,,,,,,,,16h05 à 17h55,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mercredi,8h00 à 9h50,,,,,,,,,,,,,,,,,Projet 5BIM,Projet 5BIM,Projet 5BIM,Projet 5BIM,mercredi,8h00 à 9h50,,,,,4BB Stats TP ,4BB Stats TP ,4BB Stats TP ,4BB Stats TP ,4BB Stats TP ,4BB Stats TP ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10h05 à 11h55,,,,,,,,,,,,,,,,,,,,,,10h05 à 11h55,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mercredi,14h00 à 15h50,ED-EDP TP 4BIM gr A,,,,,,,Génomique médicale 5BS,Génomique médicale 5BS,Génomique médicale 5BS,Génomique médicale 5BS,Génomique médicale 5BS,Génomique médicale 5BS,Génom méd 5BS  exam,,,TP Chimie Physiq grp B salle info Laurent Soulère,Projet 5BIM,Projet 5BIM,Projet 5BIM,mercredi,14h00 à 15h50,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16h05 à 17h55,Génomique TP 4BIM gr A,,,,,,,,,,,,,,,,,,,,,16h05 à 17h55,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeudi,8h00 à 9h50,,,,,,,,,,RBS,,,,,,,,,Projet 5BIM,Projet 5BIM,jeudi,8h00 à 9h50,,4BiM TD Biostat 6 grp A,4BiM TD Biostat 6 grp A,,4BiM TD Biostat 6 grp A,,4BiM TD Biostat 6 grp A,4BiM TD Biostat 6 grp A,4BiM TD Biostat 6 grp A,4BiM TD Biostat 6 grp A,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10h05 à 11h55,,,,,,,,Virol 5BS,,,Virol 5BS,Virol 5BS,Virol 5BS,Virol 5BS,,,,,,,,10h05 à 11h55,,TD Biostat 6 grp B 4BiM,TD Biostat 6 grp B 4BiM,,TD Biostat 6 grp B 4BiM,,TD Biostat 6 grp B 4BiM,TD Biostat 6 grp B 4BiM,TD Biostat 6 grp B 4BiM,TD Biostat 6 grp B 4BiM,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vendredi,8h00 à 9h50,,Bioinf struct TP gr A ,Bioinf struct TP gr A ,Bioinf struct TP gr A ,Bioinf struct TP gr A ,Bioinf struct TP gr A ,,,,,,,,,,,Biomathématiques B,,Projet 5BIM,,vendredi,8h00 à 9h50,,,,,,4BiM TP Prog web grp A,4BiM TP Prog web grp A,4BiM TP Prog web grp A,4BiM TP Prog web grp A,4BiM TP Prog web grp A,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10h05 à 11h55,,,,,,,,,,,,,,,,,,,,,,10h05 à 11h55,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vendredi,14h00 à 15h50,,Bioinf struct TP gr B,Proj. PK grp. A stat 5BB,Bioinf struct TP gr B,Bioinf struct TP gr B,Bioinf struct TP gr B,,,,,,,,,,,Projet 5BIM,Projet 5BIM,Projet 5BIM,,vendredi,14h00 à 15h50,,,,,4BiM TP RMN grp A ,4BiM TP RMN grp A ,4Bim  TP RMN grp B,4Bim  TP RMN grp B,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16h05 à 17h55,,,,,,,,,,,,,,,,,,,,,,16h05 à 17h55,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24
